Year,Domestic,Industrial and Commercial,Other,Resuspension,Transport
2010,1523.91,1985.02,124.52,60.79,2168.26
2013,1239.82,1634.82,96.22,58.76,1868.02
2016,1060.79,1713.26,95.61,59.58,1714.67
