Year,Domestic,Industrial and Commercial,Other,Resuspension,Transport
2010,5154.40 ,18888.50 ,241.50 ,0.00 ,45510.70 
2013,3888.70 ,15913.47 ,184.58 ,0.00 ,39877.70 
2016,3122.42 ,15614.32 ,155.47 ,0.00 ,35506.04 
