Year,Domestic,Industrial and Commercial,Other,Resuspension,Transport
2010,9494766.15 ,10517098.25 ,0.00 ,0.00 ,11631941.62 
2013,8815373.27 ,6915481.59 ,0.00 ,0.00 ,10909592.13 
2016,8550169.63 ,9104235.82 ,0.00 ,0.00 ,10860959.41 
