Year,Domestic,Industrial and Commercial,Other,Resuspension,Transport
2010,1525.52,4325.54,156.52,1652.91,3488.46
2013,1241.57,3574.44,125.13,1597.22,3120.39
2016,1062.27,3911.56,128.41,1618.48,3009.74
